original_index,img_link,budget_value,revenue_value,lang
20118,https://media.themoviedb.org/t/p/w300_and_h450_face/uejeeUpkvRxQRWBOPTrbQrmZfSp.jpg,,,Japanese
4095,https://media.themoviedb.org/t/p/w300_and_h450_face/c21ON7BZn0jwdNl6ibZ1vhXJmpy.jpg,20000000.0,15500000.0,English
5938,https://media.themoviedb.org/t/p/w300_and_h450_face/94Q5xC4MrSzpyO9x4kYG8yR4DnF.jpg,,,English
16842,https://media.themoviedb.org/t/p/w300_and_h450_face/jHyMnjZFBR64MtaTblepjUUBJYe.jpg,,,English
26757,https://media.themoviedb.org/t/p/w300_and_h450_face/a0S1ou77hJ8RAxGkpyZGbfUr2SG.jpg,3000000.0,,English
4096,https://media.themoviedb.org/t/p/w300_and_h450_face/5vd031r08rrfSMqtB9UarwqCUOz.jpg,3000000.0,10400000.0,English
5939,https://media.themoviedb.org/t/p/w300_and_h450_face/cMabi4aTi9mYs29tFS5Bh2DSEPi.jpg,,,English
16843,https://media.themoviedb.org/t/p/w300_and_h450_face/7cicZpacvh3MINqNorntTl8xdOY.jpg,,,English
26758,https://media.themoviedb.org/t/p/w300_and_h450_face/fV5XAHUYRlgWqSnfBzV8OCNa3cP.jpg,,,English
803,https://media.themoviedb.org/t/p/w300_and_h450_face/7xqOkzAQvXCLkDtmlWU6HZnOhru.jpg,12000000.0,21440752.0,English
9165,https://media.themoviedb.org/t/p/w300_and_h450_face/v8Z4ENMOAT5OpiMeS1PBNPui3X0.jpg,,,English
13544,https://media.themoviedb.org/t/p/w300_and_h450_face/OG0mxQt4YaNIWiz8EKJSHe9lPh.jpg,50000000.0,155446362.0,English
13546,https://media.themoviedb.org/t/p/w300_and_h450_face/olGPdOyC8IJh4pg3ssrlfefNmAi.jpg,,,Japanese
804,https://media.themoviedb.org/t/p/w300_and_h450_face/gxV6O7elYGvfzWmvzROq2NWtaG.jpg,,,Italian
9166,https://media.themoviedb.org/t/p/w300_and_h450_face/in11KZuaVuJnxVBipxYocDqMQbW.jpg,5000000.0,6374.0,English
13545,https://media.themoviedb.org/t/p/w300_and_h450_face/ldiKnTAt8pBB3rY6HQI4QZt6r7n.jpg,,,English
